Dialect	Target	ASR Output	WER	CER
valencià	la mort	la mort	0.0	0.0
valencià	ocasionalment reaparegué el seu nom  més  encara que continuà component  la seva ressonància fou escassa	ocasionalment repareu el seu nom més  encara que continua component  la seua ressonància fou escassa	0.2	0.04807692307692310
valencià	això va permetre la creació dels primers canals de televisió privats	això va permetre la creació dels primers canals de televisió privats	0.0	0.0
valencià	actualment és un mineral aprovat per l'associació mineralògica internacional però qüestionat per la mateixa associació	actualment és un mineral aprovat per l'associació mineralògica internacional  però qüestionat per la mateixa associació	0.0	0.0
valencià	s'utilitza sobre animacions publicitàries  curtmetratges animats i sèries d'animació  entre altres	s'utilitza sobre rimacions publicitàries  urmetratges animats i sèries d'enimació  entre altres	0.2727272727272730	0.05102040816326530
valencià	reserva'm un bitllet de tren per anar a santa eulàlia de ronçana dimecres a les tres	reserva'm un bitllet de tren per anar a santa eulàlia de ronçana dimecres a les tres	0.0	0.0
valencià	conté informació sobre el processador actual	conté infermació sobre el processador actual	0.16666666666666700	0.022727272727272700
valencià	travessa la solella gran el camí de l'ullar	travessa la solella gran el camí de l'ullar	0.0	0.0
valencià	per als aborígens australians és un animal totèmic	per als aborígens australians és un animal totèmics	0.125	0.02
valencià	el meu número es el sis  noranta dos  seixanta cinc  quaranta sis  noranta vuit	el meu número es el sis  noranta dos  seixanta cinc  quaranta sis  noranta vuit	0.0	0.0
valencià	va ser obertament gai en una època en què ser ho era poc comú	va ser obertamentgai en una època ey que sero era poc comú	0.42857142857142900	0.08196721311475410
valencià	la remodelació també es va retardar quan es van descobrir les criptes	la remodelació també es va retardar quan es van descobrir lescriptes	0.16666666666666700	0.014492753623188400
valencià	fer li la vaca	fer li la vaca	0.0	0.0
valencià	al capdavall és un ximple	el capdavall és un ximple	0.2	0.04
valencià	preferiria visitar benicull de xúquer	preferiria visitar benicull de xúquer	0.0	0.0
valencià	dues nenes caminen en una desfilada	dues nenes caminen en una desfilada	0.0	0.0
valencià	s'organitza  com gairebé tots els partits comunistes del món  sota el principi del centralisme democràtic	s'organitza com gairebé totges partis comunistes del món sota el principi del centralisme democràtic	0.2	0.0380952380952381
valencià	malgrat les crítiques desiguals  el llibre va ser un èxit comercial i va guanyar nombrosos premis	malgrat les crítiques desiguals  el llibre va ser un èxit comercial hi va guanyar nombrosos premis	0.0625	0.010309278350515500
valencià	el nou d'octubre en quer i na vera voldrien anar a piles	el nou d'octubre en quer i na vera voldrien anar a piles	0.0	0.0
valencià	pintor paisatgista  moltes de les seves obres es basen en els seus viatges	pintor paisatgista  moltes de les seves obres es basen en els seus viatges	0.0	0.0
valencià	qui no du corda  de set s'ofega	inou d'hu corda dhesset sofega	0.8571428571428570	0.2903225806451610
valencià	hi ha més metges que malalts	hi ha més metges que malals	0.16666666666666700	0.03571428571428570
valencià	el pare es mirava amb resignació aquell joc de boles	el pare es mirava amb resignació aquell joc de bolesaaa	0.1	0.057692307692307700
valencià	la costa est té una platja d'arena neta  mentre que la costa oest és rocosa	la costa est té una platja d'arene neta entre que la costa oest és rocosa	0.13333333333333300	0.02666666666666670
valencià	van escollir el nom traient trossos de paper amb paraules d'un barret	van escollir el nom traient trossos de paper amb paraules d'un barret	0.0	0.0
valencià	l'orientació vertical va resultar ser un obstacle per a la conversió a casa	l'orientació vertical va resultar ser un obstacle per a la conversió a casa	0.0	0.0
valencià	destaquem també el dibuix floral de l'arrebossat de la façana  de color verd i blanc	destaquem també el dibuix floral de l'arrebossat de la façana  de color verd i blanc	0.0	0.0
valencià	a més  el vehicle havia passat recentment una revisió tècnica	a més  el vehicle havia passat recentment una revisió tècnica	0.0	0.0
valencià	es coneix com a antic canal d'ausable	es coneix com antic canal d'ausable	0.14285714285714300	0.02702702702702700
valencià	la parella de landy és l'artista britànica gillian wearing	la parella de landi és l'artista britànica jilian wiring	0.3333333333333330	0.06896551724137930
valencià	en acabar la guerra va marxar a frança	en acabar la guerra va marxar a frança	0.0	0.0
valencià	més val morir dret que viure agenollat	més val morir dret que viure agenollat	0.0	0.0
valencià	s'han descrit dues espècies dins aquest gènere	s'han descrit dues espècies dins aquest gènere	0.0	0.0
valencià	quines botigues hi ha al carrer d'ourense	quines botigues hi ha al carrer d'aurence	0.14285714285714300	0.04878048780487810
valencià	és l'única regla d'un orde religiós escrita per una dona	és l'única regla d'honor de religiós escrita per una dona	0.2	0.07142857142857140
valencià	què hi ha al carrer cardenal tedeschini cantonada lorena	què hi ha al carrer cardenaltdesquini cantonada lorena	0.2222222222222220	0.07142857142857140
valencià	cada recorregut s'omple de rampes  baranes  salts i altres objectes variats	cada recorregut s'omple de rampes  baranes  sals i altres objectes variatsaaa	0.18181818181818200	0.05333333333333330
valencià	pertany al terme municipal de la torre de cabdella  dins de l'antic terme de mont ros	pertanya al terme municipal de la torre de cabdella  dins de l'antic terme de mont ros	0.0625	0.011764705882352900
valencià	dins d'aquestes substàncies s'ha de distingir entre barreges ordinàries i dissolucions	dins d'aquestes substàncies s'ha de distingir entre barreges ordinàries i dissolucions	0.0	0.0
valencià	conjunt de capella  rectoria i cementiri en un mateix bloc	conjunt de capella  rectoria i cementiri en un mateix i ploc	0.2	0.034482758620689700
valencià	treure a la conversa	treure a la conversa	0.0	0.0
valencià	va exercir aquest ofici a la campània  on va conèixer a octavi	va exercir aquest ofici a la campania  on va conèixer a octavi	0.08333333333333330	0.016129032258064500
valencià	conservà il·lès el seu candor	conservar il·les el seu candora	0.6	0.13793103448275900
valencià	pot ser el mateix onèsim citat per ignasi d'antioquia com a bisbe d'efes	pot ser el mateix on és incitat per ignesi d'antioquia com a bisbe d'efes	0.3076923076923080	0.08333333333333330
valencià	un home i una dona parats al carrer de la ciutat parlant entre ells	un home i una dona parats al carrer de la ciutat parlant entre ells	0.0	0.0
valencià	els arranjaments de corda eren d'en bedford	els arranjaments de corda eren den bet ford	0.42857142857142900	0.06976744186046510
valencià	els fidels cremen el paper d'encens i recullen el menjar després de l'adoració	els fidels cremen el paper d'encens i recullen el menjar després de la doració	0.15384615384615400	0.02564102564102560
valencià	anem a besalú	anem a gesalú	0.3333333333333330	0.07692307692307690
valencià	al tercer bloc apareix com a clau el concepte d'interseccionalitat	el tercer bloc apareix com aclau el concepte d'interseccionalitata	0.4	0.045454545454545500
valencià	és la setena ciutat de pakistan	és la setena ciutat de pakista	0.16666666666666700	0.03225806451612900
