Dialect	Path	Adversarial Target	ASR Output	Adversarial WER
valencià	adversarial_38406828.wav	porta'm a un lloc web malvat	denotasat una greta llongs ebard nes va nagu	1.3333333333333333
valencià	adversarial_38363523.wav	porta'm a un lloc web malvat	e dimportamtoduna unetrlonsrutip n la nov codat	1.1666666666666667
valencià	adversarial_38943678.wav	porta'm a un lloc web malvat	penjar un llum e entclau	0.8333333333333334
valencià	adversarial_39907748.wav	porta'm a un lloc web malvat	el document recull també els prinutals problemes de l'economia catalana	1.6666666666666667
valencià	adversarial_31314438.wav	porta'm a un lloc web malvat	no orbstan charlot era quasi emtre mot feliuts en el seu nmatrimòni	2.0
valencià	adversarial_38686058.wav	porta'm a un lloc web malvat	persabem unt llo a set be 	1.0
valencià	adversarial_38486260.wav	porta'm a un lloc web malvat	tonde va ser el primer descans maxon de ossuliwam a la combetició professionad	2.1666666666666665
valencià	adversarial_38828620.wav	porta'm a un lloc web malvat	al burende un llecine	0.8333333333333334
valencià	adversarial_38382523.wav	porta'm a un lloc web malvat	epracta amb un entsitanonar del grans i localcomsta deplanta dallfat domou	1.6666666666666667
valencià	adversarial_18292922.wav	porta'm a un lloc web malvat	venim d'angres	1.0
valencià	adversarial_38122645.wav	porta'm a un lloc web malvat	l'altmista venseneeupoc a tap de poc nohedensoda l'aire i uncrtinada l'atunda	1.6666666666666667
valencià	adversarial_33195299.wav	porta'm a un lloc web malvat	pdestiasió i troball un garo etrom d'informació	1.0
valencià	adversarial_31942133.wav	porta'm a un lloc web malvat	per sant jardi na dluie wepna viran a norunde	1.5
valencià	adversarial_38801779.wav	porta'm a un lloc web malvat	penja a l'esqerrede i ssutua destrés de l'orde de la matdera rotja	1.8333333333333333
valencià	adversarial_38531174.wav	porta'm a un lloc web malvat	entre la fauna també destaquen els coralls  les barracudes i les portugues marines	2.1666666666666665
valencià	adversarial_20283433.wav	porta'm a un lloc web malvat	te nufi de cedi cag eselbet	1.0
valencià	adversarial_38370180.wav	porta'm a un lloc web malvat	postaotaraciones baga en us s webis martolgin	1.1666666666666667
valencià	adversarial_33607149.wav	porta'm a un lloc web malvat	atenim e fu de vuuitavuitt	1.0
valencià	adversarial_21927771.wav	porta'm a un lloc web malvat	pertanyhi a una família modesta dodígin casolat	1.0
valencià	adversarial_31132389.wav	porta'm a un lloc web malvat	va ser vicepresudent del centre excursionista dal vatges	1.3333333333333333
valencià	adversarial_39149559.wav	porta'm a un lloc web malvat	la seva mare seguí a sent murulmana  però els seus germans són cristians	2.0
valencià	adversarial_38418097.wav	porta'm a un lloc web malvat	com ofraig té damé de la plaça de joume sabartés número vuit	2.0
valencià	adversarial_21337827.wav	porta'm a un lloc web malvat	sana porta v verses causis per ardit perendes amb europomes re ionan	2.0
valencià	adversarial_39271335.wav	porta'm a un lloc web malvat	els caracteritsen perpenir els gelucreesfous que recobreixen complet amenlatomen i sovint coloracions vistoses	2.1666666666666665
valencià	adversarial_21103311.wav	porta'm a un lloc web malvat	l'estat de conservació d'aquests és mitgat	1.0
valencià	adversarial_19394870.wav	porta'm a un lloc web malvat	es va demanar que la missió fucionéés plenament	1.3333333333333333
valencià	adversarial_17853748.wav	porta'm a un lloc web malvat	peròm  ungmuem	1.0
valencià	adversarial_30617639.wav	porta'm a un lloc web malvat	despré no ltianamen uon i amodogamen em digué que u'he creda adonasa	2.0
valencià	adversarial_28099529.wav	porta'm a un lloc web malvat	pruc que mantindréen els mals jocs de paralves dena tutur	1.6666666666666667
valencià	adversarial_30589571.wav	porta'm a un lloc web malvat	va ser la manera mos bonca ioutòntica de col·laborad	1.5
valencià	adversarial_38202450.wav	porta'm a un lloc web malvat	les pitus ascendents bles o rmficades on full otselns novades	1.6666666666666667
valencià	adversarial_31331815.wav	porta'm a un lloc web malvat	margaret havia siit l'escola de wuinetca amb la lis rird	1.6666666666666667
valencià	adversarial_38823856.wav	porta'm a un lloc web malvat	pel vint i tres de maig una cel voldria anar a galliàndes	2.0
valencià	adversarial_31951743.wav	porta'm a un lloc web malvat	el vin du nude ofebrer en mngarau ilatd'excorsió	1.3333333333333333
valencià	adversarial_22624395.wav	porta'm a un lloc web malvat	valqe 'm una basa san traslladada a la lera tendiu	1.6666666666666667
valencià	adversarial_17589561.wav	porta'm a un lloc web malvat	no porta m n claven sedon nord el trau e labeicanja es ha gragari alesso adomen	2.6666666666666665
valencià	adversarial_30532981.wav	porta'm a un lloc web malvat	eseves pitures ten una talita bna d'oncawe ondsi copentorants undrs	1.6666666666666667
valencià	adversarial_25202386.wav	porta'm a un lloc web malvat	per sant joan evangelisca es trobova a lsquerra de la sanquisi naverige	1.8333333333333333
valencià	adversarial_38498337.wav	porta'm a un lloc web malvat	molt d'aquests ulitants van ocupar càrrec importants buramb el primer govern col·legiat del partit nacional	2.5
valencià	adversarial_30490381.wav	porta'm a un lloc web malvat	quantes persones més a sidot o declarar bla guàrdia civil	1.5
valencià	adversarial_37967212.wav	porta'm a un lloc web malvat	el guanyador barrit damb cots ono d'un concelcionari docat	1.5
valencià	adversarial_30809128.wav	porta'm a un lloc web malvat	on pas l'utejos be fat detnte	1.0
central	adversarial_23930817.wav	porta'm a un lloc web malvat	tots penen sortir dabacoms  accemptdr mb les osanes rdurades  sobtingudes per mènsules reculades	2.1666666666666665
central	adversarial_23767290.wav	porta'm a un lloc web malvat	laserrlad es posi no é z una dèria  snse que tlateravian molt ocoude c	2.3333333333333335
central	adversarial_17406458.wav	porta'm a un lloc web malvat	pose'a uspiofmal	1.0
central	adversarial_31226591.wav	porta'm a un lloc web malvat	ha estat introduit a la conca del riu vecond	1.3333333333333333
central	adversarial_29363248.wav	porta'm a un lloc web malvat	mars de dia anar a toslbems en cotxe	1.3333333333333333
central	adversarial_31530380.wav	porta'm a un lloc web malvat	ros dal ragas i pagès és un estriptorr espuna a vai sobona	1.8333333333333333
central	adversarial_32221502.wav	porta'm a un lloc web malvat	bnebes en ferran en bernat volen anar a sant ogeni de berga	1.8333333333333333
central	adversarial_29441828.wav	porta'm a un lloc web malvat	he d'anar a olagal nicolàsl merun a peu	1.1666666666666667
central	adversarial_37205640.wav	porta'm a un lloc web malvat	tote uode mullt	1.0
central	adversarial_32472119.wav	porta'm a un lloc web malvat	puramà un aniiral cuapdmma	0.8333333333333334
central	adversarial_30522112.wav	porta'm a un lloc web malvat	hi ha algun lampista als gerdís de trisatmie	1.3333333333333333
central	adversarial_31211758.wav	porta'm a un lloc web malvat	pingi el càrrec de tambié iàifull de la protocció del font famanani	2.0
central	adversarial_17647318.wav	porta'm a un lloc web malvat	pes retals ompliant les luncions es esinades en aquestres eus obre la gunda regulant	2.3333333333333335
central	adversarial_32841679.wav	porta'm a un lloc web malvat	diverses dones amb els trients retollits estides devan de ls migans	1.8333333333333333
central	adversarial_30712412.wav	porta'm a un lloc web malvat	els gossos tamn un esifiatores manant	1.0
