Dialect	Path	Adversarial Target	ASR Output	Adversarial WER
valencià	adversarial_38406828.wav	porta'm a un lloc web malvat	demotpaesat una greta i en gerard  van a gurd	1.5
valencià	adversarial_38363523.wav	porta'm a un lloc web malvat	es importem aprevistiace er ucripite da mebat	1.1666666666666667
valencià	adversarial_38943678.wav	porta'm a un lloc web malvat	penjar un llum emun clauat	0.8333333333333334
valencià	adversarial_39907748.wav	porta'm a un lloc web malvat	el document recullta amb bé els principals problemes de l'economia catalama	1.8333333333333333
valencià	adversarial_31314438.wav	porta'm a un lloc web malvat	span carlet teratosisdempreno sel is en el seumetrimalues	1.3333333333333333
valencià	adversarial_38686058.wav	porta'm a un lloc web malvat	lasaremori ha gaet ben vuldat	1.0
valencià	adversarial_38486260.wav	porta'm a un lloc web malvat	tomdé va ser el primer descans macounde o sulivan a la competició propesionomal	2.1666666666666665
valencià	adversarial_38828620.wav	porta'm a un lloc web malvat	pa rovelme no dsede	1.0
valencià	adversarial_38382523.wav	porta'm a un lloc web malvat	tracta d'un tiitant honor de grans uotots pedepuan avala u	1.6666666666666667
valencià	adversarial_38122645.wav	porta'm a un lloc web malvat	l'alqimsa remenelpot  el cap de poc no ha deisua dat laire i nidret naddu	2.3333333333333335
valencià	adversarial_33195299.wav	porta'm a un lloc web malvat	n esteieri treball un osade emps di un fomeci	1.3333333333333333
valencià	adversarial_31942133.wav	porta'm a un lloc web malvat	per sant jordi arinnyet wema iran a l'orida	1.3333333333333333
valencià	adversarial_38801779.wav	porta'm a un lloc web malvat	é ja a loscàrres del  i sesfló després de l'ordre de la bandera roja	2.1666666666666665
valencià	adversarial_38531174.wav	porta'm a un lloc web malvat	enpere la fauna també desfaquen els coralls  urefna racude les tortuves marines	2.0
valencià	adversarial_20283433.wav	porta'm a un lloc web malvat	emorim pregicat r mal da	1.0
valencià	adversarial_38370180.wav	porta'm a un lloc web malvat	ter sotaacilmaga uni odoiodus umalcobagi	1.0
