2024-08-14 21:49:52,003 ASR training:
2024-08-14 21:49:52,563 Epoch 1:
2024-08-14 21:49:52,563 Learning Rate: 0.0009
2024-08-14 21:49:52,563 Patience Delta : -0.05
2024-08-14 21:49:52,563 Train Step	Batch Loss
2024-08-14 21:50:14,578 16	0.8938437700271606
2024-08-14 21:50:36,433 32	0.8120328783988953
2024-08-14 21:50:57,800 48	0.7311898469924927
2024-08-14 21:51:20,190 64	0.5561549663543701
2024-08-14 21:51:42,052 80	0.38444897532463074
2024-08-14 21:52:04,008 96	0.28142470121383667
2024-08-14 21:52:25,456 112	0.24868527054786682
2024-08-14 21:52:47,531 128	0.22329023480415344
2024-08-14 21:53:09,896 144	0.21534088253974915
2024-08-14 21:53:31,468 160	0.21221613883972168
2024-08-14 21:53:53,023 176	0.20257529616355896
2024-08-14 21:54:15,699 192	0.199824720621109
2024-08-14 21:54:37,030 208	0.19676634669303894
2024-08-14 21:54:57,356 224	0.19418704509735107
2024-08-14 21:55:18,732 240	0.19279594719409943
2024-08-14 21:55:41,100 256	0.19705839455127716
2024-08-14 21:56:03,239 272	0.19076377153396606
2024-08-14 21:56:25,014 288	0.19610288739204407
2024-08-14 21:56:47,607 304	0.19122159481048584
2024-08-14 21:57:09,303 320	0.18596726655960083
2024-08-14 21:57:32,048 336	0.18826520442962646
2024-08-14 21:57:55,641 352	0.19015133380889893
2024-08-14 21:58:17,895 368	0.1867923140525818
2024-08-14 21:58:38,966 384	0.18929558992385864
2024-08-14 21:59:00,877 400	0.18563255667686462
2024-08-14 21:59:21,120 416	0.1857057511806488
2024-08-14 21:59:41,930 432	0.18686673045158386
2024-08-14 22:00:03,086 448	0.18895798921585083
2024-08-14 22:00:25,230 464	0.18891707062721252
2024-08-14 22:00:48,319 480	0.1857629418373108
2024-08-14 22:01:10,169 496	0.18557816743850708
2024-08-14 22:01:32,287 512	0.18807467818260193
2024-08-14 22:01:54,775 528	0.18306505680084229
2024-08-14 22:02:16,527 544	0.18643075227737427
2024-08-14 22:02:38,034 560	0.19048795104026794
2024-08-14 22:02:59,657 576	0.18750455975532532
2024-08-14 22:03:20,455 592	0.18807166814804077
2024-08-14 22:03:41,072 608	0.18590401113033295
2024-08-14 22:04:02,277 624	0.20657992362976074
2024-08-14 22:04:23,397 640	0.1841665655374527
2024-08-14 22:04:44,849 656	0.18986788392066956
2024-08-14 22:05:07,105 672	0.18396545946598053
2024-08-14 22:05:28,643 688	0.18645437061786652
2024-08-14 22:05:49,097 704	0.1830476075410843
2024-08-14 22:06:11,397 720	0.19129425287246704
2024-08-14 22:06:34,154 736	0.1850583553314209
2024-08-14 22:06:55,895 752	0.18340638279914856
2024-08-14 22:07:17,761 768	0.1861400455236435
2024-08-14 22:07:40,199 784	0.18917715549468994
2024-08-14 22:08:02,545 800	0.1854059398174286
2024-08-14 22:08:24,323 816	0.1862516701221466
2024-08-14 22:08:45,871 832	0.18503564596176147
2024-08-14 22:09:07,992 848	0.1826944202184677
2024-08-14 22:09:29,148 864	0.18492309749126434
2024-08-14 22:09:51,032 880	0.19083371758460999
2024-08-14 22:10:12,421 896	0.1876268982887268
