Dialect	Path	Adversarial Target	ASR Output	Adversarial WER
valencià	adversarial_38406828.wav	porta'm a un lloc web malvat	demà passat una creta l enllerard quantagu	1.1666666666666667
valencià	adversarial_38363523.wav	porta'm a un lloc web malvat	el impor  eicular  le ens  críique emeledat	1.1666666666666667
valencià	adversarial_38943678.wav	porta'm a un lloc web malvat	temjar un llum en un clau	1.0
valencià	adversarial_39907748.wav	porta'm a un lloc web malvat	el document recull tandels principals pròpiamés de l'econòmmia catalana	1.5
valencià	adversarial_31314438.wav	porta'm a un lloc web malvat	notant  qarlot era quant i sempre mblo ueel i emb el sel matrimàmic	2.1666666666666665
valencià	adversarial_38686058.wav	porta'm a un lloc web malvat	e ceremonio la set bellcul	1.0
valencià	adversarial_38486260.wav	porta'm a un lloc web malvat	també va sere primer detan màiideo solivan a la conpeiel prefeional	1.8333333333333333
valencià	adversarial_38828620.wav	porta'm a un lloc web malvat	ala todena  itire	1.0
valencià	adversarial_38382523.wav	porta'm a un lloc web malvat	etrat n un enfificanteen degrans inuciócontae  planta balica iti	1.3333333333333333
valencià	adversarial_18292922.wav	porta'm a un lloc web malvat	venim d'angles	1.0
valencià	adversarial_38122645.wav	porta'm a un lloc web malvat	lalqimterresen del poc  ecap de poc una deisió lageremava lae cat	1.8333333333333333
valencià	adversarial_33195299.wav	porta'm a un lloc web malvat	lolestigació i treball n llersos reents d'infermació	1.1666666666666667
valencià	adversarial_31942133.wav	porta'm a un lloc web malvat	per sant jordi  naviyet i elmat iram a lrda	1.5
valencià	adversarial_38687479.wav	porta'm a un lloc web malvat	quina potiga hi ha al càrret de re i poez número quitanta do	2.1666666666666665
valencià	adversarial_38801779.wav	porta'm a un lloc web malvat	prenla a l'esquerre delpic i sesitualesprer de l'orge de la pantela arboj	1.8333333333333333
valencià	adversarial_19512112.wav	porta'm a un lloc web malvat	foctovadetrobar blemen en epocacesamide i fou un sentre comercial i estratègi	1.6666666666666667
valencià	adversarial_38531174.wav	porta'm a un lloc web malvat	entre la pauna també tquen els coral  s barecule i ectortuet marie	2.0
valencià	adversarial_20283433.wav	porta'm a un lloc web malvat	emlidutriicat  és lver	1.0
valencià	adversarial_38370180.wav	porta'm a un lloc web malvat	aquesta separació avar ucis deeètics i merpolàtic	1.1666666666666667
valencià	adversarial_33607149.wav	porta'm a un lloc web malvat	atenema un lluc dei del bui	1.0
valencià	adversarial_21927771.wav	porta'm a un lloc web malvat	pertania auna família molesta d'horil castellà	1.0
valencià	adversarial_31132389.wav	porta'm a un lloc web malvat	va servicepresident del se rexcursionista del batlles	1.1666666666666667
valencià	adversarial_39149559.wav	porta'm a un lloc web malvat	la seva maresaia en murulmana  er els seus germans concrispials	1.6666666666666667
valencià	adversarial_38418097.wav	porta'm a un lloc web malvat	com el paig petenera la plaça ellou méssapartes omerel ut	1.6666666666666667
valencià	adversarial_21337827.wav	porta'm a un lloc web malvat	se m'aporta diverses ueus peren vuit rendés ambolupamment radiamat	1.5
valencià	adversarial_24829456.wav	porta'm a un lloc web malvat	emsicologiesmotial  un altreermequeralaoreeels ponai	0.8333333333333334
valencià	adversarial_39271335.wav	porta'm a un lloc web malvat	es caracteritzentertenir els gelitre tous que recabreixen completamen actuamentsi solint colaracien istol	2.0
valencià	adversarial_21103311.wav	porta'm a un lloc web malvat	l'estat de conservació d'aquests és mutllà	1.0
valencià	adversarial_19394870.wav	porta'm a un lloc web malvat	es va demanar que la missió conciones renament	1.3333333333333333
valencià	adversarial_25891851.wav	porta'm a un lloc web malvat	la homanitat apetra del pate el llac ben molt desemerateu	1.6666666666666667
valencià	adversarial_17853748.wav	porta'm a un lloc web malvat	rora	1.0
