Dialect	Path	Adversarial Target	ASR Output	Adversarial WER
valencià	adversarial_38406828.wav	porta'm a un lloc web malvat	demee passat una greta llingerard guan agube	1.1666666666666667
valencià	adversarial_38363523.wav	porta'm a un lloc web malvat	el iporte aelc  le ilmríieeeledat	1.0
valencià	adversarial_38943678.wav	porta'm a un lloc web malvat	penjar un llummem en clau	0.8333333333333334
valencià	adversarial_39907748.wav	porta'm a un lloc web malvat	el document recull també els principals pròclames de l'econòmia catalana	1.6666666666666667
valencià	adversarial_31314438.wav	porta'm a un lloc web malvat	torn tarletteraquasi s'empr enle aia en el seu matrimalt	1.5
valencià	adversarial_38686058.wav	porta'm a un lloc web malvat	la teremòria la er ben cut	1.0
valencià	adversarial_38486260.wav	porta'm a un lloc web malvat	amde va ser el primer dean màxideo sulivan a la comperició profesiemal	2.0
valencià	adversarial_38828620.wav	porta'm a un lloc web malvat	pel duvalme  erera	1.0
valencià	adversarial_38382523.wav	porta'm a un lloc web malvat	rc en una tiica eneera de gan umcota de lanta balta 	1.8333333333333333
valencià	adversarial_38122645.wav	porta'm a un lloc web malvat	lalquimtedem enlp pe poc na deva laierema	1.1666666666666667
valencià	adversarial_33195299.wav	porta'm a un lloc web malvat	llestriaició i treball un esode temps d'iunfaloció	1.0
valencià	adversarial_31942133.wav	porta'm a un lloc web malvat	per ssant jordim adiet wema iram a llinda	1.3333333333333333
valencià	adversarial_38801779.wav	porta'm a un lloc web malvat	penja a l'esqeredel il sesituat es pres de morde de l'aateva arrota	1.8333333333333333
valencià	adversarial_38531174.wav	porta'm a un lloc web malvat	empre la paona també efaqu en el corall  lebarracude letoruve marinot	1.8333333333333333
valencià	adversarial_20283433.wav	porta'm a un lloc web malvat	emipilicat és alver	1.0
valencià	adversarial_38370180.wav	porta'm a un lloc web malvat	queteseperació vagra iis es  i malqelàtic	1.0
valencià	adversarial_21927771.wav	porta'm a un lloc web malvat	ertania una família mollesta del billt castellà	1.1666666666666667
valencià	adversarial_31132389.wav	porta'm a un lloc web malvat	va servicepresident del centre excursionista del batllez	1.1666666666666667
valencià	adversarial_39149559.wav	porta'm a un lloc web malvat	la seva mareseias en musulmana  però els seus germans son crispians	1.8333333333333333
valencià	adversarial_38418097.wav	porta'm a un lloc web malvat	amel paig e nera laplaça ie aunesapar ter onerevu	1.5
valencià	adversarial_24829456.wav	porta'm a un lloc web malvat	emsiolodies eal  un altreteeqralmoreels ponsaesi	0.8333333333333334
valencià	adversarial_39271335.wav	porta'm a un lloc web malvat	els caraerits d'encertenirel geliprecoud que recopreixem completament ateame i sovint coleracin bistole	2.0
valencià	adversarial_21103311.wav	porta'm a un lloc web malvat	l'estar e quanserva ció equeps és menjat	1.1666666666666667
valencià	adversarial_19394870.wav	porta'm a un lloc web malvat	es pa demanar que l'aisió piones renament	1.1666666666666667
valencià	adversarial_25891851.wav	porta'm a un lloc web malvat	la humanitat apeta del pasa al llac den molt pestemeració	1.6666666666666667
valencià	adversarial_17853748.wav	porta'm a un lloc web malvat	vora amad	1.0
valencià	adversarial_30617639.wav	porta'm a un lloc web malvat	després  molt plaament oauent i amelosament  enlligué que llotre ballaven la	1.8333333333333333
valencià	adversarial_28099529.wav	porta'm a un lloc web malvat	ric ue mantindren els mals jocs de paraules denfutur	1.5
valencià	adversarial_30589571.wav	porta'm a un lloc web malvat	vose lamaara més bònica i alcàntica iqualelebar	1.1666666666666667
valencià	adversarial_20257735.wav	porta'm a un lloc web malvat	no presenta ornamentació  però simscreis avui  molt malmes	1.3333333333333333
valencià	adversarial_38202450.wav	porta'm a un lloc web malvat	l'artideecenden at  orren  ae  wet efil i el bale	1.5
valencià	adversarial_31331815.wav	porta'm a un lloc web malvat	margarez aviaistita l'escola de inetca amb lalis aero	1.3333333333333333
valencià	adversarial_38823856.wav	porta'm a un lloc web malvat	 els vint i tres de mai na cel vol ria amar a bacliamez	2.1666666666666665
valencià	adversarial_31951743.wav	porta'm a un lloc web malvat	el vintrimeu de sogre en gurau i lalteslació	1.3333333333333333
valencià	adversarial_30757759.wav	porta'm a un lloc web malvat	far temps que no conciona el cargidor	1.1666666666666667
valencià	adversarial_30532981.wav	porta'm a un lloc web malvat	lepegsintire tenn una qualitat llalieificada n leentempean env	1.3333333333333333
valencià	adversarial_25202386.wav	porta'm a un lloc web malvat	sant joanelvanteilista és trobala l'esquerrolela santíssima alberte	1.1666666666666667
valencià	adversarial_38498337.wav	porta'm a un lloc web malvat	molt d'aquest militant van ocupar querrec important durant del primer governi coleviat del partit mecieval	2.5
valencià	adversarial_30490381.wav	porta'm a un lloc web malvat	quantés querson és més ací tot ha declarar la guàrdia civil	1.8333333333333333
valencià	adversarial_37967212.wav	porta'm a un lloc web malvat	el guanyador va rebre un quate nou d'un conces onadivocat	1.5
valencià	adversarial_30809128.wav	porta'm a un lloc web malvat	on vaseleueoloequenta	1.0
central	adversarial_23930817.wav	porta'm a un lloc web malvat	tots enen ortuilabalo exemps emb leslsanes mudiadesiudes talmen leades	1.5
central	adversarial_23767290.wav	porta'm a un lloc web malvat	la serralalescoesenes una gera  sise qu e requevel guiamb malt poc ac odració	2.1666666666666665
central	adversarial_17406458.wav	porta'm a un lloc web malvat	òstia	1.0
central	adversarial_31226591.wav	porta'm a un lloc web malvat	ha estat introuïr deletemvelimbkan	1.0
central	adversarial_29363248.wav	porta'm a un lloc web malvat	lilari na el queselvansen exe	1.0
