Dialect	Path	Adversarial Target	ASR Output	Adversarial WER
valencià	adversarial_38406828.wav	porta'm a un lloc web malvat	demà tasat una cabeta i unllerda van a gullt	1.5
valencià	adversarial_38363523.wav	porta'm a un lloc web malvat	el mporta eaunaletíiqua dealpeat	1.0
valencià	adversarial_38943678.wav	porta'm a un lloc web malvat	temat un llummen en clau	0.8333333333333334
valencià	adversarial_39907748.wav	porta'm a un lloc web malvat	el document recull també els principals pròblemés de l'economia catalaa	1.6666666666666667
valencià	adversarial_31314438.wav	porta'm a un lloc web malvat	spa tarlot era uque emprelloc peip emb ell teu metriaml	1.6666666666666667
valencià	adversarial_38686058.wav	porta'm a un lloc web malvat	per teremoniro va set bell talc	1.0
valencià	adversarial_38486260.wav	porta'm a un lloc web malvat	també va ser el primer destans maxidasulivan a la conetió preessional	1.8333333333333333
valencià	adversarial_38828620.wav	porta'm a un lloc web malvat	el rodene  etiber	1.0
valencià	adversarial_38382523.wav	porta'm a un lloc web malvat	rt el un micanuana eelonooonalantablla	0.8333333333333334
valencià	adversarial_38122645.wav	porta'm a un lloc web malvat	ualqumitavenseecoc  cap d poc nalu alweretmaete	1.0
valencià	adversarial_33195299.wav	porta'm a un lloc web malvat	neostigaml i crean un ieceeansen pelastiu	1.0
valencià	adversarial_31942133.wav	porta'm a un lloc web malvat	per sant jade et ienmat uiram alea	1.1666666666666667
valencià	adversarial_38801779.wav	porta'm a un lloc web malvat	penja alesqerdeli se situaeres de l'orde de la baltera rotja	1.6666666666666667
valencià	adversarial_38531174.wav	porta'm a un lloc web malvat	entre la pauna també efaquen els codall  barracullel iltortugez mariat	1.6666666666666667
valencià	adversarial_20283433.wav	porta'm a un lloc web malvat	rten un uiloredicat ialluilat	0.8333333333333334
valencià	adversarial_38370180.wav	porta'm a un lloc web malvat	aquesta eprarcieanlaintic i malpelòtic	1.0
valencià	adversarial_33607149.wav	porta'm a un lloc web malvat	atenen en ulli eicavit	1.0
valencià	adversarial_21927771.wav	porta'm a un lloc web malvat	pertenia una família moltesca evis castellat	1.0
