Dialect	Path	Adversarial Target	ASR Output	Adversarial WER
valencià	adversarial_38406828.wav	porta'm a un lloc web malvat	demarassat na geta lieu gerard van a luba	1.3333333333333333
valencià	adversarial_38363523.wav	porta'm a un lloc web malvat	pel empordearevisnllo  le  almrititemelmat	1.0
valencià	adversarial_38943678.wav	porta'm a un lloc web malvat	penjar ho un llum em enclauet	0.8333333333333334
valencià	adversarial_39907748.wav	porta'm a un lloc web malvat	el document recull també els principals problemes de l'economia catalana	1.6666666666666667
valencià	adversarial_31314438.wav	porta'm a un lloc web malvat	tor carlet era tosi sempre le eis en el seu marimalie	1.8333333333333333
valencià	adversarial_38686058.wav	porta'm a un lloc web malvat	la ceremolio va se ellcultet	1.0
valencià	adversarial_38486260.wav	porta'm a un lloc web malvat	també vasreprimer descansa maxion be osslivan a la competició propesional	1.6666666666666667
valencià	adversarial_38828620.wav	porta'm a un lloc web malvat	pel rovellma  le xevere	1.0
valencià	adversarial_38382523.wav	porta'm a un lloc web malvat	spraaueificie an de grans mnci ospugltabalsa s	1.1666666666666667
valencià	adversarial_38122645.wav	porta'm a un lloc web malvat	al quimebem ano  de poc edeloalaireenal	1.0
valencià	adversarial_33195299.wav	porta'm a un lloc web malvat	nestsi el tebalo un lloxa deens d'npelose	1.0
valencià	adversarial_31942133.wav	porta'm a un lloc web malvat	per sant ljerem na ginies  emat iram a lrellla	1.5
valencià	adversarial_38801779.wav	porta'm a un lloc web malvat	enja a l'esquerra del pis  i si situa éspres de l'orde de la at de ba rota	2.6666666666666665
valencià	adversarial_38531174.wav	porta'm a un lloc web malvat	empere la fauna també desfaquen els corals  les marratudes les tortudes marines	2.0
valencià	adversarial_20283433.wav	porta'm a un lloc web malvat	m u libre prellicat eldet	1.0
valencià	adversarial_38370180.wav	porta'm a un lloc web malvat	peaeracimagaliis benatis malfabagis	1.0
valencià	adversarial_21927771.wav	porta'm a un lloc web malvat	ertamia una faíla modesta bebillor aestelà	1.0
valencià	adversarial_31132389.wav	porta'm a un lloc web malvat	va ser micepresident lel centre excursionista del bages	1.3333333333333333
valencià	adversarial_39149559.wav	porta'm a un lloc web malvat	la seva mere feia s en musulmana  però els seus gernans són cristians	2.1666666666666665
valencià	adversarial_38418097.wav	porta'm a un lloc web malvat	come faig  però nora la plaça emeabartes  moera vul	1.5
valencià	adversarial_24829456.wav	porta'm a un lloc web malvat	emsicoroniasil  un altreemeclalaoleeel fonsadest i	0.8333333333333334
valencià	adversarial_39271335.wav	porta'm a un lloc web malvat	els caracterisen pervenir el elicles tous que recobreixen completament aomen i solim coloracions vistoes	2.3333333333333335
valencià	adversarial_21103311.wav	porta'm a un lloc web malvat	l'sta de conservacraqueps e menjat	1.0
valencià	adversarial_19394870.wav	porta'm a un lloc web malvat	es va demanar que lamesió funcionés plenament	1.1666666666666667
valencià	adversarial_25891851.wav	porta'm a un lloc web malvat	la humanitat la pesa del arsa el lloc e molt pesceneao	1.6666666666666667
valencià	adversarial_17853748.wav	porta'm a un lloc web malvat	edemamea	1.0
valencià	adversarial_30617639.wav	porta'm a un lloc web malvat	divestres  molt lananen  ument i amadosament  eigue vque jo teballave asa	1.8333333333333333
valencià	adversarial_28099529.wav	porta'm a un lloc web malvat	per què maltienes mals grocs de paraldes lnafatur	1.3333333333333333
valencià	adversarial_30589571.wav	porta'm a un lloc web malvat	boer maaemsboniiacentutuepolababada	1.0
valencià	adversarial_20257735.wav	porta'm a un lloc web malvat	no presenta ormemenració  però sí lus grafis avui molt malmesos	1.6666666666666667
valencià	adversarial_38202450.wav	porta'm a un lloc web malvat	lesutiseendn uners o ranicales auleil ilbade	1.0
valencià	adversarial_31331815.wav	porta'm a un lloc web malvat	margaret haviaistitales o la deuunet que amb lals va ire	1.6666666666666667
valencià	adversarial_38823856.wav	porta'm a un lloc web malvat	el vint i tres de maig na cel volrima bacaianes	1.6666666666666667
valencià	adversarial_31951743.wav	porta'm a un lloc web malvat	el viltrimeu de lebrer en guerau i al dexeursió	1.5
valencià	adversarial_30757759.wav	porta'm a un lloc web malvat	farrems que no consional femildor	1.0
valencià	adversarial_30532981.wav	porta'm a un lloc web malvat	lefevres piures tenem una catarlleoiecala onlelsosemtemtarans besa	1.1666666666666667
valencià	adversarial_25202386.wav	porta'm a un lloc web malvat	sant joame vantelista es prolol a l'esquerra de lasemisimalverge	1.5
